,Date,Country,Energy,Production,Urban Population,Population Growth,Population,GDP in $,CO2 Emission
8,1982,North America,Oil,706.30046795602,190641337.0,0.981134124422312,256836391.0,3658081025119.14,4721955.563
17,1983,North America,Oil,708.6476908803953,192802947.0,0.9258773613588008,259214381.0,3975475111781.89,4751016.538
26,1984,North America,Oil,728.2635016450739,194889455.0,0.8773027913138799,261488476.0,4393971258071.62,4901231.5260000015
35,1985,North America,Oil,730.2442260248854,197027492.0,0.892788101300496,263823014.0,4704774999482.75,4915085.452
44,1986,North America,Oil,704.9472663691926,199269494.0,0.9353414482635,266290660.0,4958242427343.98,4900938.166
53,1987,North America,Oil,700.589896160408,201510529.0,0.939871492300924,268793450.0,5287828242049.45,5120294.438999998
62,1988,North America,Oil,696.8478381479638,203797727.0,0.950783584942272,271349094.0,5745207451214.25,5349225.249
71,1989,North America,Oil,664.7187913341628,206276409.0,1.0339183222037902,274154622.0,6208137243275.24,5419136.603999998
80,1990,North America,Oil,654.5438000240504,209231872.0,1.1740972946281398,277373464.0,6558665950908.47,5259086.722
89,1991,North America,Oil,668.9285120936748,213050439.0,1.3353753984195,281077441.0,6770092083611.19,5248166.396000002
98,1992,North America,Oil,663.2233329129831,217071868.0,1.37557037172542,284943859.0,7114394589284.92,5350974.408
107,1993,North America,Oil,652.5644281638214,220996624.0,1.30510445568157,288662674.0,7437550121892.44,5474794.33
116,1994,North America,Oil,648.3644836929145,224788006.0,1.2205627250581002,292185983.0,7867242439501.61,5551735.324
125,1995,North America,Oil,645.673392237588,228538710.0,1.1821491108285,295640057.0,8245811373385.4,5601089.477000001
134,1996,North America,Oil,659.8711623300603,232288316.0,1.15826320517857,299064347.0,8704363777972.13,5732060.049
143,1997,North America,Oil,670.2736829393485,236183090.0,1.19007766579411,302623445.0,9233311210265.78,5864534.091
152,1998,North America,Oil,666.6916281554502,240006391.0,1.13893059409193,306070116.0,9697762238406.81,5908065.048
161,1999,North America,Oil,639.1149052079576,243831291.0,1.12146035191492,309502571.0,10310072635807.7,6020572.275
170,2000,North America,Oil,642.5001288687603,247519374.0,1.1009288191018,312909974.0,10998121151318.6,6228582.85
179,2001,North America,Oil,646.0958832763392,250612588.0,1.0042463523390202,316052361.0,11321881659892.6,6124249.366
188,2002,North America,Oil,652.3139052705212,253516142.0,0.947888188691621,319048184.0,11698306960646.5,6161201.725
197,2003,North America,Oil,660.9696221916083,256244701.0,0.867299091099042,321815286.0,12354812816817.7,6229363.921
206,2004,North America,Oil,660.1510677196086,259163359.0,0.930473824664759,324809693.0,13241410621714.1,6308857.147000001
215,2005,North America,Oil,637.761041224157,262099001.0,0.928178273300475,327824506.0,14210866344864.7,6347727.347
224,2006,North America,Oil,637.6395527574952,265190165.0,0.9734180763167192,331015609.0,15135440910461.2,6241758.381
233,2007,North America,Oil,632.4941906892373,268301627.0,0.9575110399099028,334185120.0,15922730888205.8,6344115.352000001
242,2008,North America,Oil,611.9943074111632,271462240.0,0.9639079681345492,337406357.0,16268085220997.2,6175789.051
251,2009,North America,Oil,621.6779205266985,274499918.0,0.9068302764668912,340466060.0,15825892407986.4,5800746.626
260,2010,North America,Oil,638.7040450691593,277436526.0,0.860596207445766,343396098.0,16611339953589.4,5930811.449
