,Date,Country,Energy,Production,Urban Population,Population Growth,Population,GDP in $,CO2 Emission
6,1982,North America,coal,472.8079919066541,190641337.0,0.981134124422312,256836391.0,3658081025119.14,4721955.563
15,1983,North America,coal,440.9343156849933,192802947.0,0.9258773613588008,259214381.0,3975475111781.89,4751016.538
24,1984,North America,coal,508.24954087908725,194889455.0,0.8773027913138799,261488476.0,4393971258071.62,4901231.5260000015
33,1985,North America,coal,501.056764412944,197027492.0,0.892788101300496,263823014.0,4704774999482.75,4915085.452
42,1986,North America,coal,503.2015543304326,199269494.0,0.9353414482635,266290660.0,4958242427343.98,4900938.166
51,1987,North America,coal,518.9503041278983,201510529.0,0.939871492300924,268793450.0,5287828242049.45,5120294.438999998
60,1988,North America,coal,538.1181614232406,203797727.0,0.950783584942272,271349094.0,5745207451214.25,5349225.249
69,1989,North America,coal,555.391832511709,206276409.0,1.0339183222037902,274154622.0,6208137243275.24,5419136.603999998
78,1990,North America,coal,580.946375695052,209231872.0,1.1740972946281398,277373464.0,6558665950908.47,5259086.722
87,1991,North America,coal,561.7740875770194,213050439.0,1.3353753984195,281077441.0,6770092083611.19,5248166.396000002
96,1992,North America,coal,557.745142579551,217071868.0,1.37557037172542,284943859.0,7114394589284.92,5350974.408
105,1993,North America,coal,527.2871955223127,220996624.0,1.30510445568157,288662674.0,7437550121892.44,5474794.33
114,1994,North America,coal,574.949419007167,224788006.0,1.2205627250581002,292185983.0,7867242439501.61,5551735.324
123,1995,North America,coal,574.5069090894896,228538710.0,1.1821491108285,295640057.0,8245811373385.4,5601089.477000001
132,1996,North America,coal,591.3629736815058,232288316.0,1.15826320517857,299064347.0,8704363777972.13,5732060.049
141,1997,North America,coal,605.5293019299945,236183090.0,1.19007766579411,302623445.0,9233311210265.78,5864534.091
150,1998,North America,coal,620.640183590846,240006391.0,1.13893059409193,306070116.0,9697762238406.81,5908065.048
159,1999,North America,coal,601.144546631087,243831291.0,1.12146035191492,309502571.0,10310072635807.7,6020572.275
168,2000,North America,coal,586.0859026034025,247519374.0,1.1009288191018,312909974.0,10998121151318.6,6228582.85
177,2001,North America,coal,604.7340664158238,250612588.0,1.0042463523390202,316052361.0,11321881659892.6,6124249.366
186,2002,North America,coal,579.2164311084326,253516142.0,0.947888188691621,319048184.0,11698306960646.5,6161201.725
195,2003,North America,coal,562.1748908122854,256244701.0,0.867299091099042,321815286.0,12354812816817.7,6229363.921
204,2004,North America,coal,583.5391151459762,259163359.0,0.930473824664759,324809693.0,13241410621714.1,6308857.147000001
213,2005,North America,coal,592.5716891093705,262099001.0,0.928178273300475,327824506.0,14210866344864.7,6347727.347
222,2006,North America,coal,606.9140653718996,265190165.0,0.9734180763167192,331015609.0,15135440910461.2,6241758.381
231,2007,North America,coal,601.3326364279133,268301627.0,0.9575110399099028,334185120.0,15922730888205.8,6344115.352000001
240,2008,North America,coal,609.4014679239722,271462240.0,0.9639079681345492,337406357.0,16268085220997.2,6175789.051
249,2009,North America,coal,552.9402135995208,274499918.0,0.9068302764668912,340466060.0,15825892407986.4,5800746.626
258,2010,North America,coal,566.4244249644928,277436526.0,0.860596207445766,343396098.0,16611339953589.4,5930811.449
267,2011,North America,coal,573.1359834230392,280117707.0,0.753591265326477,345983901.0,17337272540202.8,5827237.034
276,2012,North America,coal,534.8573111814002,282842503.0,0.77152058008619,348653238.0,18026511572523.6,5637370.775
285,2013,North America,coal,519.1275379038173,285496412.0,0.73208670444069,351205682.0,18632441320853.1,5676780.024
294,2014,North America,coal,525.4747018594896,288277522.0,0.764028925932919,353888995.0,19329008738304.3,5792048.502
303,2015,North America,coal,466.100392446555,291030813.0,0.740860845361979,356510820.0,19778113935832.2,5361313.826904297
312,2016,North America,coal,387.1306601809737,293894230.0,0.7670353455190909,359245384.0,20239948343915.9,5162931.257080078
321,2017,North America,coal,410.55026331720364,296598607.0,0.697539651615969,361751263.0,21138584471481.7,4939808.054931641
330,2018,North America,coal,400.73014843630796,299348798.0,0.701862096885051,364290258.0,22213254904898.5,4690914.970458984
339,1982,Latin America,coal,7.304751536021505,248048678.0,2.2008651906509704,376714428.0,838671751679.881,895502.543909963
348,1983,Latin America,coal,7.947808407526883,255888839.0,2.17193645686436,384896426.0,739244129762.9391,859240.191099891
357,1984,Latin America,coal,9.619113992258065,263825309.0,2.13302188469788,393106351.0,746420837980.004,865058.696124236
366,1985,Latin America,coal,11.32900206204301,271836281.0,2.08733463072439,401311796.0,768852209952.423,890060.02673428
375,1986,Latin America,coal,12.462189192684946,279874029.0,2.03951493117836,409496610.0,774460413571.5,923999.444716975
