,Date,Country,Energy,Production,Urban Population,Population Growth,Population,GDP in $,CO2 Emission
7,1982,North America,gaz,502.39836597851627,190641337.0,0.981134124422312,256836391.0,3658081025119.14,4721955.563
16,1983,North America,gaz,459.7775759090164,192802947.0,0.9258773613588008,259214381.0,3975475111781.89,4751016.538
25,1984,North America,gaz,497.05908350842634,194889455.0,0.8773027913138799,261488476.0,4393971258071.62,4901231.5260000015
34,1985,North America,gaz,478.2103886505081,197027492.0,0.892788101300496,263823014.0,4704774999482.75,4915085.452
43,1986,North America,gaz,461.27556678049393,199269494.0,0.9353414482635,266290660.0,4958242427343.98,4900938.166
52,1987,North America,gaz,480.57160016117575,201510529.0,0.939871492300924,268793450.0,5287828242049.45,5120294.438999998
61,1988,North America,gaz,502.24218374457433,203797727.0,0.950783584942272,271349094.0,5745207451214.25,5349225.249
70,1989,North America,gaz,512.0810064782929,206276409.0,1.0339183222037902,274154622.0,6208137243275.24,5419136.603999998
79,1990,North America,gaz,527.2672858154853,209231872.0,1.1740972946281398,277373464.0,6558665950908.47,5259086.722
88,1991,North America,gaz,530.0481704923827,213050439.0,1.3353753984195,281077441.0,6770092083611.19,5248166.396000002
97,1992,North America,gaz,542.1936028383514,217071868.0,1.37557037172542,284943859.0,7114394589284.92,5350974.408
106,1993,North America,gaz,558.9184564092138,220996624.0,1.30510445568157,288662674.0,7437550121892.44,5474794.33
115,1994,North America,gaz,586.8452044519935,224788006.0,1.2205627250581002,292185983.0,7867242439501.61,5551735.324
124,1995,North America,gaz,589.2075304657699,228538710.0,1.1821491108285,295640057.0,8245811373385.4,5601089.477000001
133,1996,North America,gaz,597.553896155651,232288316.0,1.15826320517857,299064347.0,8704363777972.13,5732060.049
142,1997,North America,gaz,603.9357457521546,236183090.0,1.19007766579411,302623445.0,9233311210265.78,5864534.091
151,1998,North America,gaz,615.534183243081,240006391.0,1.13893059409193,306070116.0,9697762238406.81,5908065.048
160,1999,North America,gaz,614.7149748146952,243831291.0,1.12146035191492,309502571.0,10310072635807.7,6020572.275
169,2000,North America,gaz,626.2111997137924,247519374.0,1.1009288191018,312909974.0,10998121151318.6,6228582.85
178,2001,North America,gaz,640.1160072197299,250612588.0,1.0042463523390202,316052361.0,11321881659892.6,6124249.366
187,2002,North America,gaz,623.971684990863,253516142.0,0.947888188691621,319048184.0,11698306960646.5,6161201.725
196,2003,North America,gaz,626.6063760705283,256244701.0,0.867299091099042,321815286.0,12354812816817.7,6229363.921
205,2004,North America,gaz,616.3992500801182,259163359.0,0.930473824664759,324809693.0,13241410621714.1,6308857.147000001
214,2005,North America,gaz,612.9880884052031,262099001.0,0.928178273300475,327824506.0,14210866344864.7,6347727.347
223,2006,North America,gaz,627.3204267437006,265190165.0,0.9734180763167192,331015609.0,15135440910461.2,6241758.381
232,2007,North America,gaz,639.2318052200071,268301627.0,0.9575110399099028,334185120.0,15922730888205.8,6344115.352000001
241,2008,North America,gaz,653.3015061450667,271462240.0,0.9639079681345492,337406357.0,16268085220997.2,6175789.051
250,2009,North America,gaz,657.9676588158275,274499918.0,0.9068302764668912,340466060.0,15825892407986.4,5800746.626
259,2010,North America,gaz,667.1765603228043,277436526.0,0.860596207445766,343396098.0,16611339953589.4,5930811.449
268,2011,North America,gaz,705.5278268297143,280117707.0,0.753591265326477,345983901.0,17337272540202.8,5827237.034
277,2012,North America,gaz,731.1093850302797,282842503.0,0.77152058008619,348653238.0,18026511572523.6,5637370.775
286,2013,North America,gaz,739.5538472072171,285496412.0,0.73208670444069,351205682.0,18632441320853.1,5676780.024
295,2014,North America,gaz,786.7737622394324,288277522.0,0.764028925932919,353888995.0,19329008738304.3,5792048.502
304,2015,North America,gaz,815.9981302666818,291030813.0,0.740860845361979,356510820.0,19778113935832.2,
313,2016,North America,gaz,810.6722145151512,293894230.0,0.7670353455190909,359245384.0,20239948343915.9,
322,2017,North America,gaz,826.8092377352984,296598607.0,0.697539651615969,361751263.0,21138584471481.7,
331,2018,North America,gaz,906.1613666853939,299348798.0,0.701862096885051,364290258.0,22213254904898.5,
340,1982,Latin America,gaz,34.37733806184798,248048678.0,2.2008651906509704,376714428.0,838671751679.881,895502.543909963
349,1983,Latin America,gaz,37.48615062890449,255888839.0,2.17193645686436,384896426.0,739244129762.9391,859240.191099891
358,1984,Latin America,gaz,39.92837948850622,263825309.0,2.13302188469788,393106351.0,746420837980.004,865058.696124236
367,1985,Latin America,gaz,40.770788109025325,271836281.0,2.08733463072439,401311796.0,768852209952.423,890060.02673428
376,1986,Latin America,gaz,44.164657174761636,279874029.0,2.03951493117836,409496610.0,774460413571.5,923999.444716975
385,1987,Latin America,gaz,44.17610094811252,287945998.0,1.99345386522248,417659736.0,817561849917.264,970270.3194756808
394,1988,Latin America,gaz,47.832705913908924,296063622.0,1.94920920028548,425800798.0,921828566820.827,993454.141778767
403,1989,Latin America,gaz,49.83689039446351,304214003.0,1.90818994190801,433925886.0,1006296671041.03,1051772.86254728
412,1990,Latin America,gaz,51.784038976563494,312378954.0,1.87009124410706,442040696.0,1178166874370.62,1012610.84966029
421,1991,Latin America,gaz,53.69221531728763,320447865.0,1.82892866497522,450125305.0,1449485344516.14,1031335.26456295
430,1992,Latin America,gaz,53.769969429752436,328470594.0,1.78843999894652,458175526.0,1369927204648.79,1051596.78607558
439,1993,Latin America,gaz,57.231072615008486,336494457.0,1.75132728499338,466199679.0,1575484838602.26,1089708.09766438
