,Date,Country,Energy,Production,Urban Population,Population Growth,Population,GDP in $,CO2 Emission
5,1982,North America,hydro,596.3379820606021,190641337.0,0.981134124422312,256836391.0,3658081025119.14,4721955.563
14,1983,North America,hydro,625.4966913131271,192802947.0,0.9258773613588008,259214381.0,3975475111781.89,4751016.538
23,1984,North America,hydro,637.4446295737334,194889455.0,0.8773027913138799,261488476.0,4393971258071.62,4901231.5260000015
32,1985,North America,hydro,619.310951082824,197027492.0,0.892788101300496,263823014.0,4704774999482.75,4915085.452
41,1986,North America,hydro,628.9649990868643,199269494.0,0.9353414482635,266290660.0,4958242427343.98,4900938.166
50,1987,North America,hydro,590.9628801939357,201510529.0,0.939871492300924,268793450.0,5287828242049.45,5120294.438999998
59,1988,North America,hydro,557.7150976060573,203797727.0,0.950783584942272,271349094.0,5745207451214.25,5349225.249
68,1989,North America,hydro,590.5281166666592,206276409.0,1.0339183222037902,274154622.0,6208137243275.24,5419136.603999998
77,1990,North America,hydro,612.4451818181744,209231872.0,1.1740972946281398,277373464.0,6558665950908.47,5259086.722
86,1991,North America,hydro,617.2272699494872,213050439.0,1.3353753984195,281077441.0,6770092083611.19,5248166.396000002
95,1992,North America,hydro,593.4140267676694,217071868.0,1.37557037172542,284943859.0,7114394589284.92,5350974.408
104,1993,North America,hydro,628.1197739898909,220996624.0,1.30510445568157,288662674.0,7437550121892.44,5474794.33
113,1994,North America,hydro,607.468221464639,224788006.0,1.2205627250581002,292185983.0,7867242439501.61,5551735.324
122,1995,North America,hydro,672.8782161616077,228538710.0,1.1821491108285,295640057.0,8245811373385.4,5601089.477000001
131,1996,North America,hydro,733.4778323232229,232288316.0,1.15826320517857,299064347.0,8704363777972.13,5732060.049
140,1997,North America,hydro,731.014839646456,236183090.0,1.19007766579411,302623445.0,9233311210265.78,5864534.091
149,1998,North America,hydro,677.5521434343353,240006391.0,1.13893059409193,306070116.0,9697762238406.81,5908065.048
158,1999,North America,hydro,694.3182846464556,243831291.0,1.12146035191492,309502571.0,10310072635807.7,6020572.275
167,2000,North America,hydro,662.59630828282,247519374.0,1.1009288191018,312909974.0,10998121151318.6,6228582.85
176,2001,North America,hydro,570.1963592929221,250612588.0,1.0042463523390202,316052361.0,11321881659892.6,6124249.366
185,2002,North America,hydro,632.3038081818102,253516142.0,0.947888188691621,319048184.0,11698306960646.5,6161201.725
194,2003,North America,hydro,625.9625373232244,256244701.0,0.867299091099042,321815286.0,12354812816817.7,6229363.921
203,2004,North America,hydro,626.1293986616082,259163359.0,0.930473824664759,324809693.0,13241410621714.1,6308857.147000001
212,2005,North America,hydro,656.0929394949414,262099001.0,0.928178273300475,327824506.0,14210866344864.7,6347727.347
221,2006,North America,hydro,668.8777747222138,265190165.0,0.9734180763167192,331015609.0,15135440910461.2,6241758.381
230,2007,North America,hydro,638.0051963888808,268301627.0,0.9575110399099028,334185120.0,15922730888205.8,6344115.352000001
239,2008,North America,hydro,667.7655010858498,271462240.0,0.9639079681345492,337406357.0,16268085220997.2,6175789.051
248,2009,North America,hydro,666.9424904040322,274499918.0,0.9068302764668912,340466060.0,15825892407986.4,5800746.626
257,2010,North America,hydro,645.8174774242343,277436526.0,0.860596207445766,343396098.0,16611339953589.4,5930811.449
266,2011,North America,hydro,728.0894848232231,280117707.0,0.753591265326477,345983901.0,17337272540202.8,5827237.034
275,2012,North America,hydro,686.2078516919104,282842503.0,0.77152058008619,348653238.0,18026511572523.6,5637370.775
284,2013,North America,hydro,686.3600421464557,285496412.0,0.73208670444069,351205682.0,18632441320853.1,5676780.024
293,2014,North America,hydro,677.1447274747393,288277522.0,0.764028925932919,353888995.0,19329008738304.3,5792048.502
302,2015,North America,hydro,659.5379254040365,291030813.0,0.740860845361979,356510820.0,19778113935832.2,
311,2016,North America,hydro,681.6303055808039,293894230.0,0.7670353455190909,359245384.0,20239948343915.9,
320,2017,North America,hydro,725.1566780555511,296598607.0,0.697539651615969,361751263.0,21138584471481.7,
329,2018,North America,hydro,708.3523312212437,299348798.0,0.701862096885051,364290258.0,22213254904898.5,
338,1982,Latin America,hydro,219.68790740260002,248048678.0,2.2008651906509704,376714428.0,838671751679.881,895502.543909963
347,1983,Latin America,hydro,236.76038971039995,255888839.0,2.17193645686436,384896426.0,739244129762.9391,859240.191099891
356,1984,Latin America,hydro,261.6288892559,263825309.0,2.13302188469788,393106351.0,746420837980.004,865058.696124236
365,1985,Latin America,hydro,283.51151866519996,271836281.0,2.08733463072439,401311796.0,768852209952.423,890060.02673428
374,1986,Latin America,hydro,305.98564345000005,279874029.0,2.03951493117836,409496610.0,774460413571.5,923999.444716975
383,1987,Latin America,hydro,326.4309152,287945998.0,1.99345386522248,417659736.0,817561849917.264,970270.3194756808
392,1988,Latin America,hydro,339.5146364,296063622.0,1.94920920028548,425800798.0,921828566820.827,993454.141778767
401,1989,Latin America,hydro,347.1482867496,304214003.0,1.90818994190801,433925886.0,1006296671041.03,1051772.86254728
410,1990,Latin America,hydro,360.9930032407,312378954.0,1.87009124410706,442040696.0,1178166874370.62,1012610.84966029
419,1991,Latin America,hydro,385.4264438012,320447865.0,1.82892866497522,450125305.0,1449485344516.14,1031335.26456295
428,1992,Latin America,hydro,392.79107040665025,328470594.0,1.78843999894652,458175526.0,1369927204648.79,1051596.78607558
437,1993,Latin America,hydro,423.06309299637456,336494457.0,1.75132728499338,466199679.0,1575484838602.26,1089708.09766438
446,1994,Latin America,hydro,448.4429675431876,344598113.0,1.71466098328223,474193423.0,1800205595450.76,1129594.71156058
455,1995,Latin America,hydro,465.6940700121208,352730571.0,1.67805448453046,482150647.0,1919636489927.56,1140823.40560974
464,1996,Latin America,hydro,485.6945929658927,360813704.0,1.64472121925827,490080681.0,2077237385814.28,1196088.52922126
473,1997,Latin America,hydro,513.9133380012823,368974524.0,1.60723107548897,497957410.0,2277266787746.16,1262083.62464046
482,1998,Latin America,hydro,526.6079670504464,377146578.0,1.56980051767881,505774348.0,2297915055244.36,1340747.7537167
491,1999,Latin America,hydro,527.2850513703764,385191570.0,1.51618998281029,513442848.0,2073279888299.07,1365147.92547218
500,2000,Latin America,hydro,555.6516252488883,393174484.0,1.46493091281701,520964431.0,2286930519732.8,1357198.14407046
509,2001,Latin America,hydro,521.3991678970501,400635740.0,1.41509142684637,528336554.0,2237512350937.42,1389064.26221726
518,2002,Latin America,hydro,547.3633179737606,407883520.0,1.36922894038484,535570691.0,2007714754373.6,1405749.12646068
527,2003,Latin America,hydro,570.6483420164337,415039901.0,1.32830065564585,542684680.0,2051191419284.12,1440172.12654708
536,2004,Latin America,hydro,589.0348642764351,422094543.0,1.29370410824939,549705414.0,2363958082179.67,1449766.94698418
545,2005,Latin America,hydro,624.1520975610738,429102172.0,1.26369721364978,556652026.0,2858100756633.53,1526838.14233386
554,2006,Latin America,hydro,652.684198566938,436073028.0,1.23404616872804,563521369.0,3350771445882.55,1572705.70132022
563,2007,Latin America,hydro,675.7375964118067,443004625.0,1.20552748728149,570314774.0,3947928508462.87,1600704.86119156
572,2008,Latin America,hydro,680.2992491638822,449897159.0,1.1811214275153898,577050884.0,4588436486040.13,1681713.72916438
581,2009,Latin America,hydro,697.527986014208,456756147.0,1.16024742109224,583746102.0,4312105501412.17,1645895.05116335
590,2010,Latin America,hydro,700.8750583787786,463516547.0,1.1232953809086,590303295.0,5347162175796.48,1732851.36795638
599,2011,Latin America,hydro,744.1007692281446,470401391.0,1.12872553083072,596966199.0,6080012753550.91,1768915.68527039
608,2012,Latin America,hydro,730.3211151516197,477257549.0,1.10894352328313,603586217.0,6143036728395.19,1847427.22022797
617,2013,Latin America,hydro,709.8054476101547,484067485.0,1.08778328846432,610151927.0,6294625532171.87,1874741.57657565
626,2014,Latin America,hydro,686.2527565143766,490801017.0,1.06001238606265,616619613.0,6416225701699.74,1912531.50401786
635,2015,Latin America,hydro,671.4583522996409,497450713.0,1.0324712133345602,622986033.0,5517742948141.7,
644,2016,Latin America,hydro,686.2961537821918,504002302.0,1.0038801303271,629240066.0,5387475015449.07,
653,2017,Latin America,hydro,720.4352898880453,510454639.0,0.974580185108564,635372515.0,5970989904971.93,
662,2018,Latin America,hydro,731.3065131130292,516796961.0,0.9419670915415708,641357515.0,5787292630122.98,
671,1982,Europe,hydro,467.2124975568887,213887984.0,0.273981806115373,304174240.0,2488863293583.92,209906.414
680,1983,Europe,hydro,481.0383689028079,214652134.0,0.201612404784839,304787493.0,2427979491829.1,204867.956
689,1984,Europe,hydro,486.7857237234746,215221599.0,0.16786810868252602,305299134.0,2328909303034.65,198953.085
698,1985,Europe,hydro,502.17495867141355,215791198.0,0.18951675113496,305877727.0,2392628694168.01,201233.959
707,1986,Europe,hydro,486.1124371021812,216603493.0,0.24941698353866604,306640638.0,3357838291838.19,190467.647
716,1987,Europe,hydro,529.5193376036559,217721472.0,0.27646433477612203,307488390.0,4153063175251.52,190878.351
725,1988,Europe,hydro,566.3214687616963,218940388.0,0.334348558656146,308516473.0,4567521859474.51,199033.759
734,1989,Europe,hydro,492.7655970692317,220211027.0,0.42821668066974894,309837592.0,4665534944904.77,226671.938
743,1990,Europe,hydro,502.4571503747469,221681277.0,0.45991707810586,311262588.0,5871571762095.75,218597.204
752,1991,Europe,hydro,513.0917744993934,223220677.0,0.464414631160224,312708137.0,6098788978230.53,2648355.74202849
761,1992,Europe,hydro,529.6566497349488,224726427.0,0.46494504874363,314162058.0,6726742780089.63,2580075.531
770,1993,Europe,hydro,550.4667646781811,226165011.0,0.4096742325262001,315449099.0,6162113917507.5,2526548.332
779,1994,Europe,hydro,557.1966285290904,227399932.0,0.29091222733212896,316366779.0,6509747580056.97,2513970.522
788,1995,Europe,hydro,564.8899093620196,228549321.0,0.25750775810755,317181448.0,7517783242200.44,2567956.096
797,1996,Europe,hydro,548.0862940975753,229700813.0,0.259021139218717,318003015.0,7608600706357.79,2634270.124
806,1997,Europe,hydro,567.6789719684845,230802308.0,0.23859742336090095,318761762.0,6956703610586.5,2600981.098
815,1998,Europe,hydro,593.9041616719267,231837254.0,0.21088445357509,319433981.0,7149352017482.07,2648245.061
824,1999,Europe,hydro,598.1808529396599,233000247.0,0.258243345750998,320258898.0,7116772457710.09,2618685.374
833,2000,Europe,hydro,617.6173959136954,234371053.0,0.328450827305346,321310791.0,6484573532448.5,2637002.039
842,2001,Europe,hydro,612.0053845974849,235934885.0,0.38501134560399897,322547874.0,6592352067950.52,2702325.977
851,2002,Europe,hydro,563.9119818515329,237878107.0,0.489062904193887,324125336.0,7174014361860.81,2701885.937
860,2003,Europe,hydro,529.5205387818244,239986941.0,0.543193574969408,325885964.0,8850827901132.02,2741595.88
869,2004,Europe,hydro,570.0996927380734,242114378.0,0.551279035754987,327682505.0,10151027906176.7,2767041.193
878,2005,Europe,hydro,571.6718852620734,244169604.0,0.518157659958092,329380417.0,10535354545600.8,2750877.057
887,2006,Europe,hydro,561.8547733455167,246100105.0,0.468264632745303,330922789.0,11185953973661.5,2752365.859
896,2007,Europe,hydro,563.9350558069065,248142077.0,0.520476696453812,332645165.0,12881558619442.0,2704749.864
905,2008,Europe,hydro,592.9944420150167,250114873.0,0.489879358384783,334274725.0,14124882309427.2,2642509.873
914,2009,Europe,hydro,589.6923389563558,251691335.0,0.32493183563309497,335360890.0,12915145836358.7,2443076.411
923,2010,Europe,hydro,649.7226543978795,253060543.0,0.23574275461876895,336151479.0,12651387614510.3,2496137.901
932,2011,Europe,hydro,569.6100311809589,253272096.0,-0.21771018297378894,335419643.0,13630795393394.0,2402097.686
941,2012,Europe,hydro,625.7587543632238,254552159.0,0.220485298173202,336159194.0,12651386953652.8,2352138.478
950,2013,Europe,hydro,661.5625602946152,256110532.0,0.33999337825636605,337302113.0,13202692493055.8,2308651.525
959,2014,Europe,hydro,644.0056521651782,257668061.0,0.345133325624914,338466255.0,13499117646931.9,2191542.213
968,2015,Europe,hydro,635.8393610614188,259198842.0,0.315310310624611,339533474.0,11684180189186.4,
977,2016,Europe,hydro,651.3580431410469,260756917.0,0.319099612546594,340616924.0,11981439102404.6,
986,2017,Europe,hydro,584.8894938561974,261911604.0,0.16071955367667098,341164362.0,12639380729565.5,
995,2018,Europe,hydro,642.0666166149666,263144784.0,0.181381489078262,341783171.0,13675599697568.1,
1004,1982,Russia,hydro,174.6237522,99464693.0,0.6282877444241071,140823000.0,1407242640.23211,608.722
1013,1983,Russia,hydro,179.6132548,100677781.0,0.598250932058307,141668000.0,1479688125.8852,696.73
1022,1984,Russia,hydro,202.563199,102058393.0,0.7573529676260509,142745000.0,1587412957.22263,634.391
1031,1985,Russia,hydro,194.69457,103466989.0,0.7766880284471479,143858000.0,1715625839.1797302,616.056
1040,1986,Russia,hydro,195.3044472,104825013.0,0.7175738664357741,144894000.0,1944711061.30888,597.721
1049,1987,Russia,hydro,197.7793112,106169956.0,0.697384550046896,145908000.0,2157434025.16467,616.056
1058,1988,Russia,hydro,205.91542660000002,107471421.0,0.648303809439665,146857000.0,554713455149.5021,696.73
1067,1989,Russia,hydro,199.2598102,108424260.0,0.586603532881112,147721000.0,506500173960.269,689.3960000000002
1076,1990,Russia,hydro,210.9519598,108837430.0,0.385794345665368,148292000.0,516814274021.956,542.716
1085,1991,Russia,hydro,212.1541122,109073667.0,0.22363236630223696,148624000.0,517962962962.963,487.711
1094,1992,Russia,hydro,215.99859479999998,109115423.0,0.0437249639508604,148689000.0,460290556900.726,2078668.286
1103,1993,Russia,hydro,222.5761218,108985461.0,-0.113724697579415,148520000.0,435083713850.837,1938445.873
1112,1994,Russia,hydro,226.3250974,108843023.0,-0.123965844425279,148336000.0,395077301248.464,1698378.384
1121,1995,Russia,hydro,220.3093692,108866238.0,0.0267775060816902,148375726.0,395537185734.854,1631473.969
1130,1996,Russia,hydro,198.8092522,108700578.0,-0.14546915502926502,148160042.0,391724890744.498,1612966.62
1139,1997,Russia,hydro,197.8492096,108515107.0,-0.165319440855875,147915307.0,404928954191.876,1526011.049
1148,1998,Russia,hydro,198.3320784,108329743.0,-0.165511936742255,147670692.0,270955486862.442,1495505.2759999996
1157,1999,Russia,hydro,203.1637846,107987645.0,-0.309476734460824,147214392.0,195907128350.934,1531130.181
1166,2000,Russia,hydro,208.4305796,107528575.0,-0.42056697531099296,146596557.0,259710142196.943,1557899.281
1175,2001,Russia,hydro,217.3059872,107067618.0,-0.4241510280761889,145976083.0,306602070620.5,1557506.9119999998
1184,2002,Russia,hydro,207.32281789999996,106568907.0,-0.460061304902853,145306046.0,345470494417.86304,1557085.207
1193,2003,Russia,hydro,205.72014295320272,106132766.0,-0.453719859743564,144648257.0,430347770733.155,1604242.8269999996
1202,2004,Russia,hydro,225.80462981629492,105771150.0,-0.4026137603057179,144067054.0,591016690742.937,1602115.967
1211,2005,Russia,hydro,223.52055324514168,105433013.0,-0.38147369622440097,143518523.0,764017107993.346,1615089.813
1220,2006,Russia,hydro,222.01099222058465,105152847.0,-0.32731870638619204,143049528.0,989930542278.684,1669262.404
1229,2007,Russia,hydro,227.4091064,105037426.0,-0.171024042221983,142805088.0,1299705764824.48,1666886.188
1238,2008,Russia,hydro,207.66672880000002,105055515.0,-0.0439422615372963,142742350.0,1660846387626.0,1714978.8930000004
1247,2009,Russia,hydro,218.3185045,105149982.0,0.0301140670621249,142785342.0,1222644282200.48,1574045.082
1256,2010,Russia,hydro,216.83752300000003,105261473.0,0.0448873898392816,142849449.0,1524917468442.6,1670531.186
1265,2011,Russia,hydro,212.7451227,105407907.0,0.0779670984684485,142960868.0,2051661732059.47,1763405.295
1274,2012,Russia,hydro,213.0338471024188,105669949.0,0.168301590750173,143201676.0,2210256976944.74,1830830.424
1283,2013,Russia,hydro,229.43056290000004,105998510.0,0.212923595008292,143506911.0,2297128039058.16,1778561.006
1292,2014,Russia,hydro,221.13823916400037,106354643.0,0.217700100552035,143819666.0,2059984158384.6,1705345.684
1301,2015,Russia,hydro,215.45512447982802,106703732.0,0.19255864182342305,144096870.0,1363594369511.4,
1310,2016,Russia,hydro,234.6491759,107050095.0,0.17024454590112,144342396.0,1282723881083.71,
1319,2017,Russia,hydro,240.14824220000003,107349518.0,0.106871954284237,144496740.0,1578624060588.26,
1328,2018,Russia,hydro,244.8390959636324,107539347.0,-0.0129353844507104,144478050.0,1657553765580.67,
1337,1982,Middle East,hydro,10.5892326,100255121.0,3.36899758446722,197157159.0,415696836243.358,634634.55265118
1346,1983,Middle East,hydro,10.2042312,104893039.0,3.38665409557863,203834190.0,422819099218.397,677289.072862662
1355,1984,Middle East,hydro,10.346646400000001,109660638.0,3.34321783798882,210648811.0,428820268874.78296,725247.8961551391
1364,1985,Middle East,hydro,10.437999999999999,114531210.0,3.28697654030432,217572788.0,435916738779.892,767990.454592032
1373,1986,Middle East,hydro,11.076,119494701.0,3.2067686699864306,224549844.0,446708185515.019,819048.957070844
1382,1987,Middle East,hydro,13.918097,124347202.0,3.12637447211944,231570113.0,410970895760.933,830537.945486939
1391,1988,Middle East,hydro,14.294096999999999,129069928.0,3.0206907572740205,238565130.0,408409905957.318,887318.932617446
1400,1989,Middle East,hydro,12.6202582,133705181.0,2.8873159291972,245453259.0,420664060516.896,916881.43505848
1409,1990,Middle East,hydro,15.275522200000001,139666927.0,3.56967311646083,254215138.0,550672700031.725,913726.7319812628
1418,1991,Middle East,hydro,11.0154422,144406997.0,2.68716137588942,261046309.0,554619640067.1,999941.83247408
1427,1992,Middle East,hydro,17.8253242,147229296.0,1.76608894324571,265656619.0,603659416995.199,1062834.13975185
1436,1993,Middle East,hydro,20.046829,151964154.0,2.42840137930085,272107828.0,607894528644.182,1158095.16790561
1445,1994,Middle East,hydro,16.5490192,156596433.0,2.3068564569189904,278384965.0,633727283356.403,1211915.86970668
1454,1995,Middle East,hydro,18.716804,162593631.0,2.77026419153059,286096964.0,708644708098.4979,1186766.28331436
1463,1996,Middle East,hydro,18.697472000000005,166923263.0,2.07769314182586,292041181.0,802281807818.04,1187235.82051655
1472,1997,Middle East,hydro,16.088313199999998,171273206.0,2.00333048235413,297891731.0,832628504235.547,1153542.858
1481,1998,Middle East,hydro,17.2088182,175668732.0,1.93023451194756,303641740.0,809324954316.0841,1267747.906
1490,1999,Middle East,hydro,11.8003082,180164193.0,1.90849947046148,309436741.0,866753216731.7579,1353489.7
1499,2000,Middle East,hydro,10.7283516,184767866.0,1.9034779066523304,315326801.0,966940531199.356,1473033.9
1508,2001,Middle East,hydro,11.620199999999999,189474459.0,1.8934029651352096,321297208.0,970588701268.544,1496924.405
1517,2002,Middle East,hydro,16.8240728,194266427.0,1.88767404415167,327362252.0,966794595638.065,1515868.127
1526,2003,Middle East,hydro,18.5816746,199218951.0,1.90813906057808,333608779.0,1089041747053.17,1615889.219
1535,2004,Middle East,hydro,23.132955799999998,204420062.0,1.95879197771352,340143481.0,1271305394517.72,1747453.845
1544,2005,Middle East,hydro,23.9192712,210036919.0,2.02455533757532,347029874.0,1530292026599.53,1833500.0
1553,2006,Middle East,hydro,28.25476,216006638.0,2.09566655347948,354302463.0,1791193599349.88,1941947.858
1562,2007,Middle East,hydro,26.70531,222207051.0,2.1525881969384,361929136.0,2123656501279.28,1928295.617
1571,2008,Middle East,hydro,13.690469,228610587.0,2.1811219973182903,369823252.0,2648080083193.21,2086820.027
1580,2009,Middle East,hydro,12.116322,235187474.0,2.17961984715878,377883993.0,2368422381889.97,2184057.866
1589,2010,Middle East,hydro,17.390324000000003,241803108.0,2.12602098761035,385917886.0,2768122882414.01,2271079.443
1598,2011,Middle East,hydro,18.328239999999997,248192942.0,2.07988312829843,393944527.0,3282325618009.2,2297742.2
1607,2012,Middle East,hydro,21.407367999999998,254611631.0,2.03827987182572,401974219.0,3575615120555.34,2468881.09
1616,2013,Middle East,hydro,23.360935,261050633.0,1.99108664727576,409977874.0,3553668416591.58,2445353.618
1625,2014,Middle East,hydro,19.943495,267476927.0,1.94019446034788,417932242.0,3569443658321.09,2593273.8930243
1634,2015,Middle East,hydro,16.767386000000002,274105309.0,1.88775289559977,425821770.0,3146224148913.01,
1643,2016,Middle East,hydro,20.17054912328767,280622420.0,1.82608230668902,433597626.0,3149687655679.88,
1652,2017,Middle East,hydro,20.788066271662764,287047910.0,1.76606317489384,441255234.0,3275008659269.25,
1661,2018,Middle East,hydro,15.190500071662765,293463198.0,1.7354185083728602,448912859.0,3616868655711.47,
1670,1982,Africa,hydro,48.63271473477219,94123455.0,2.89309384475105,405688903.0,349108366367.861,426457.618956291
1679,1983,Africa,hydro,45.508914661870506,98734387.0,2.8930488147959,417425681.0,303964037529.75604,433261.823575716
1688,1984,Africa,hydro,45.125960319424465,103678047.0,2.89782290610911,429521938.0,266231902787.32895,464893.186188336
1697,1985,Africa,hydro,49.446750651958446,108996884.0,2.90231322247388,441988010.0,252988063151.375,476651.655768622
1706,1986,Africa,hydro,51.14198670135891,114614216.0,2.9067799825610603,454835629.0,260336111190.53,482696.529019139
1715,1987,Africa,hydro,49.05836470842447,120453617.0,2.9060034344846897,468053168.0,294043923959.352,475233.49277081
1724,1988,Africa,hydro,53.59506975713989,126524879.0,2.89307389112683,481594292.0,302566908437.938,505904.52453451796
1733,1989,Africa,hydro,56.277569967127114,132797324.0,2.86820239140211,495407391.0,301056772873.864,481497.976564295
1742,1990,Africa,hydro,57.25465912323799,139406814.0,2.8349314635073704,509451851.0,336946365795.332,438830.25361437
1751,1991,Africa,hydro,60.651488412762,145817745.0,2.80204340645334,523726913.0,342668045723.391,453466.830859884
1760,1992,Africa,hydro,57.86029168460675,152384337.0,2.7723524683559604,538246469.0,338025357341.352,437483.80720278295
