,Date,Country,Energy,Production,Urban Population,Population Growth,Population,GDP in $,CO2 Emission
3,1982,North America,renewable,29.840048945356184,190641337.0,0.981134124422312,256836391.0,3658081025119.14,4721955.563
12,1983,North America,renewable,33.24829411366944,192802947.0,0.9258773613588008,259214381.0,3975475111781.89,4751016.538
21,1984,North America,renewable,39.36818270081017,194889455.0,0.8773027913138799,261488476.0,4393971258071.62,4901231.5260000015
30,1985,North America,renewable,39.72845199964622,197027492.0,0.892788101300496,263823014.0,4704774999482.75,4915085.452
39,1986,North America,renewable,43.98007725117765,199269494.0,0.9353414482635,266290660.0,4958242427343.98,4900938.166
48,1987,North America,renewable,49.410612973773,201510529.0,0.939871492300924,268793450.0,5287828242049.45,5120294.438999998
57,1988,North America,renewable,49.52312691621661,203797727.0,0.950783584942272,271349094.0,5745207451214.25,5349225.249
66,1989,North America,renewable,59.393776985646284,206276409.0,1.0339183222037902,274154622.0,6208137243275.24,5419136.603999998
75,1990,North America,renewable,69.72879708134009,209231872.0,1.1740972946281398,277373464.0,6558665950908.47,5259086.722
84,1991,North America,renewable,73.83220628401797,213050439.0,1.3353753984195,281077441.0,6770092083611.19,5248166.396000002
93,1992,North America,renewable,79.03652209470047,217071868.0,1.37557037172542,284943859.0,7114394589284.92,5350974.408
102,1993,North America,renewable,81.81888776686083,220996624.0,1.30510445568157,288662674.0,7437550121892.44,5474794.33
111,1994,North America,renewable,82.36123647661708,224788006.0,1.2205627250581002,292185983.0,7867242439501.61,5551735.324
120,1995,North America,renewable,80.60291758695588,228538710.0,1.1821491108285,295640057.0,8245811373385.4,5601089.477000001
129,1996,North America,renewable,82.42700227264999,232288316.0,1.15826320517857,299064347.0,8704363777972.13,5732060.049
138,1997,North America,renewable,83.81243999940867,236183090.0,1.19007766579411,302623445.0,9233311210265.78,5864534.091
147,1998,North America,renewable,84.41798873903296,240006391.0,1.13893059409193,306070116.0,9697762238406.81,5908065.048
156,1999,North America,renewable,86.73180655194113,243831291.0,1.12146035191492,309502571.0,10310072635807.7,6020572.275
165,2000,North America,renewable,88.33320180794018,247519374.0,1.1009288191018,312909974.0,10998121151318.6,6228582.85
174,2001,North America,renewable,90.50439688714154,250612588.0,1.0042463523390202,316052361.0,11321881659892.6,6124249.366
183,2002,North America,renewable,99.42372439587636,253516142.0,0.947888188691621,319048184.0,11698306960646.5,6161201.725
192,2003,North America,renewable,100.35006108516154,256244701.0,0.867299091099042,321815286.0,12354812816817.7,6229363.921
201,2004,North America,renewable,104.98473594969617,259163359.0,0.930473824664759,324809693.0,13241410621714.1,6308857.147000001
210,2005,North America,renewable,110.22766278265236,262099001.0,0.928178273300475,327824506.0,14210866344864.7,6347727.347
219,2006,North America,renewable,119.71511312049336,265190165.0,0.9734180763167192,331015609.0,15135440910461.2,6241758.381
228,2007,North America,renewable,130.26659013707243,268301627.0,0.9575110399099028,334185120.0,15922730888205.8,6344115.352000001
237,2008,North America,renewable,151.04108657623348,271462240.0,0.9639079681345492,337406357.0,16268085220997.2,6175789.051
246,2009,North America,renewable,173.6643445269941,274499918.0,0.9068302764668912,340466060.0,15825892407986.4,5800746.626
255,2010,North America,renewable,201.58776489906455,277436526.0,0.860596207445766,343396098.0,16611339953589.4,5930811.449
264,2011,North America,renewable,231.93369191399887,280117707.0,0.753591265326477,345983901.0,17337272540202.8,5827237.034
273,2012,North America,renewable,261.9406194812352,282842503.0,0.77152058008619,348653238.0,18026511572523.6,5637370.775
282,2013,North America,renewable,308.34950663339725,285496412.0,0.73208670444069,351205682.0,18632441320853.1,5676780.024
291,2014,North America,renewable,344.36471430494737,288277522.0,0.764028925932919,353888995.0,19329008738304.3,5792048.502
300,2015,North America,renewable,369.63687449184584,291030813.0,0.740860845361979,356510820.0,19778113935832.2,5361313.826904297
309,2016,North America,renewable,427.274816489897,293894230.0,0.7670353455190909,359245384.0,20239948343915.9,5162931.257080078
318,2017,North America,renewable,478.97134127237166,296598607.0,0.697539651615969,361751263.0,21138584471481.7,4939808.054931641
327,2018,North America,renewable,525.1815534300798,299348798.0,0.701862096885051,364290258.0,22213254904898.5,4690914.970458984
336,1982,Latin America,renewable,5.506492203595682,248048678.0,2.2008651906509704,376714428.0,838671751679.881,895502.543909963
345,1983,Latin America,renewable,6.340874997211051,255888839.0,2.17193645686436,384896426.0,739244129762.9391,859240.191099891
354,1984,Latin America,renewable,6.1661769424697415,263825309.0,2.13302188469788,393106351.0,746420837980.004,865058.696124236
363,1985,Latin America,renewable,6.059437202877946,271836281.0,2.08733463072439,401311796.0,768852209952.423,890060.02673428
372,1986,Latin America,renewable,6.250761344674767,279874029.0,2.03951493117836,409496610.0,774460413571.5,923999.444716975
381,1987,Latin America,renewable,6.704370138033189,287945998.0,1.99345386522248,417659736.0,817561849917.264,970270.3194756808
390,1988,Latin America,renewable,6.637861841445376,296063622.0,1.94920920028548,425800798.0,921828566820.827,993454.141778767
399,1989,Latin America,renewable,6.9444062464060625,304214003.0,1.90818994190801,433925886.0,1006296671041.03,1051772.86254728
408,1990,Latin America,renewable,8.305423520572266,312378954.0,1.87009124410706,442040696.0,1178166874370.62,1012610.84966029
417,1991,Latin America,renewable,8.374013724707408,320447865.0,1.82892866497522,450125305.0,1449485344516.14,1031335.26456295
426,1992,Latin America,renewable,10.692721511398075,328470594.0,1.78843999894652,458175526.0,1369927204648.79,1051596.78607558
435,1993,Latin America,renewable,10.288681576140448,336494457.0,1.75132728499338,466199679.0,1575484838602.26,1089708.09766438
444,1994,Latin America,renewable,10.84019079046504,344598113.0,1.71466098328223,474193423.0,1800205595450.76,1129594.71156058
453,1995,Latin America,renewable,11.071581197718434,352730571.0,1.67805448453046,482150647.0,1919636489927.56,1140823.40560974
462,1996,Latin America,renewable,12.61525644310092,360813704.0,1.64472121925827,490080681.0,2077237385814.28,1196088.52922126
471,1997,Latin America,renewable,13.47113088403461,368974524.0,1.60723107548897,497957410.0,2277266787746.16,1262083.62464046
480,1998,Latin America,renewable,12.701089682734947,377146578.0,1.56980051767881,505774348.0,2297915055244.36,1340747.7537167
489,1999,Latin America,renewable,15.004667324338605,385191570.0,1.51618998281029,513442848.0,2073279888299.07,1365147.92547218
498,2000,Latin America,renewable,15.142179219983067,393174484.0,1.46493091281701,520964431.0,2286930519732.8,1357198.14407046
507,2001,Latin America,renewable,16.798138183128422,400635740.0,1.41509142684637,528336554.0,2237512350937.42,1389064.26221726
516,2002,Latin America,renewable,18.739777882699713,407883520.0,1.36922894038484,535570691.0,2007714754373.6,1405749.12646068
525,2003,Latin America,renewable,20.4635436282709,415039901.0,1.32830065564585,542684680.0,2051191419284.12,1440172.12654708
534,2004,Latin America,renewable,21.57544128117342,422094543.0,1.29370410824939,549705414.0,2363958082179.67,1449766.94698418
543,2005,Latin America,renewable,22.906077675454675,429102172.0,1.26369721364978,556652026.0,2858100756633.53,1526838.14233386
552,2006,Latin America,renewable,24.847981654716772,436073028.0,1.23404616872804,563521369.0,3350771445882.55,1572705.70132022
561,2007,Latin America,renewable,30.463950567072736,443004625.0,1.20552748728149,570314774.0,3947928508462.87,1600704.86119156
570,2008,Latin America,renewable,34.25458775495077,449897159.0,1.1811214275153898,577050884.0,4588436486040.13,1681713.72916438
579,2009,Latin America,renewable,38.60055806630957,456756147.0,1.16024742109224,583746102.0,4312105501412.17,1645895.05116335
588,2010,Latin America,renewable,50.08222145757998,463516547.0,1.1232953809086,590303295.0,5347162175796.48,1732851.36795638
597,2011,Latin America,renewable,53.21853106470884,470401391.0,1.12872553083072,596966199.0,6080012753550.91,1768915.68527039
606,2012,Latin America,renewable,63.068093351542636,477257549.0,1.10894352328313,603586217.0,6143036728395.19,1847427.22022797
615,2013,Latin America,renewable,72.68432305226406,484067485.0,1.08778328846432,610151927.0,6294625532171.87,1874741.57657565
624,2014,Latin America,renewable,87.27801151353962,490801017.0,1.06001238606265,616619613.0,6416225701699.74,1912531.50401786
633,2015,Latin America,renewable,105.8244429092756,497450713.0,1.0324712133345602,622986033.0,5517742948141.7,1952975.23021698
642,2016,Latin America,renewable,124.74437360282529,504002302.0,1.0038801303271,629240066.0,5387475015449.07,1997225.7940597534
651,2017,Latin America,renewable,139.36588091412213,510454639.0,0.974580185108564,635372515.0,5970989904971.93,2041731.198753357
660,2018,Latin America,renewable,156.31807275131237,516796961.0,0.9419670915415708,641357515.0,5787292630122.98,2086457.7659683228
669,1982,Europe,renewable,9.854621003999998,213887984.0,0.273981806115373,304174240.0,2488863293583.92,209906.414
678,1983,Europe,renewable,10.166752155000001,214652134.0,0.201612404784839,304787493.0,2427979491829.1,204867.956
687,1984,Europe,renewable,10.5497879090101,215221599.0,0.16786810868252602,305299134.0,2328909303034.65,198953.085
696,1985,Europe,renewable,11.019822839010102,215791198.0,0.18951675113496,305877727.0,2392628694168.01,201233.959
705,1986,Europe,renewable,13.153419657010103,216603493.0,0.24941698353866604,306640638.0,3357838291838.19,190467.647
714,1987,Europe,renewable,13.066101294,217721472.0,0.27646433477612203,307488390.0,4153063175251.52,190878.351
723,1988,Europe,renewable,14.008809905010102,218940388.0,0.334348558656146,308516473.0,4567521859474.51,199033.759
732,1989,Europe,renewable,14.061766802090908,220211027.0,0.42821668066974894,309837592.0,4665534944904.77,226671.938
741,1990,Europe,renewable,19.744813046467836,221681277.0,0.45991707810586,311262588.0,5871571762095.75,218597.204
750,1991,Europe,renewable,20.54496098783838,223220677.0,0.464414631160224,312708137.0,6098788978230.53,2648355.74202849
759,1992,Europe,renewable,22.27173907975747,224726427.0,0.46494504874363,314162058.0,6726742780089.63,2580075.531
768,1993,Europe,renewable,25.196304092121213,226165011.0,0.4096742325262001,315449099.0,6162113917507.5,2526548.332
777,1994,Europe,renewable,27.034823912201983,227399932.0,0.29091222733212896,316366779.0,6509747580056.97,2513970.522
786,1995,Europe,renewable,30.408500656697363,228549321.0,0.25750775810755,317181448.0,7517783242200.44,2567956.096
795,1996,Europe,renewable,31.56259649432092,229700813.0,0.259021139218717,318003015.0,7608600706357.79,2634270.124
804,1997,Europe,renewable,39.02293859416274,230802308.0,0.23859742336090095,318761762.0,6956703610586.5,2600981.098
813,1998,Europe,renewable,47.37860947816693,231837254.0,0.21088445357509,319433981.0,7149352017482.07,2648245.061
822,1999,Europe,renewable,52.435119995812656,233000247.0,0.258243345750998,320258898.0,7116772457710.09,2618685.374
831,2000,Europe,renewable,64.92043574828595,234371053.0,0.328450827305346,321310791.0,6484573532448.5,2637002.039
840,2001,Europe,renewable,72.05912179843881,235934885.0,0.38501134560399897,322547874.0,6592352067950.52,2702325.977
849,2002,Europe,renewable,87.35906849894894,237878107.0,0.489062904193887,324125336.0,7174014361860.81,2701885.937
858,2003,Europe,renewable,102.98084882513528,239986941.0,0.543193574969408,325885964.0,8850827901132.02,2741595.88
867,2004,Europe,renewable,128.86805423804833,242114378.0,0.551279035754987,327682505.0,10151027906176.7,2767041.193
876,2005,Europe,renewable,151.28333936984154,244169604.0,0.518157659958092,329380417.0,10535354545600.8,2750877.057
885,2006,Europe,renewable,174.99089751083054,246100105.0,0.468264632745303,330922789.0,11185953973661.5,2752365.859
894,2007,Europe,renewable,209.01446398484157,248142077.0,0.520476696453812,332645165.0,12881558619442.0,2704749.864
903,2008,Europe,renewable,238.94874173648867,250114873.0,0.489879358384783,334274725.0,14124882309427.2,2642509.873
912,2009,Europe,renewable,270.3626310418981,251691335.0,0.32493183563309497,335360890.0,12915145836358.7,2443076.411
921,2010,Europe,renewable,313.6373911350814,253060543.0,0.23574275461876895,336151479.0,12651387614510.3,2496137.901
930,2011,Europe,renewable,379.57358714577,253272096.0,-0.21771018297378894,335419643.0,13630795393394.0,2402097.686
939,2012,Europe,renewable,448.73651249303373,254552159.0,0.220485298173202,336159194.0,12651386953652.8,2352138.478
948,2013,Europe,renewable,506.80547382094085,256110532.0,0.33999337825636605,337302113.0,13202692493055.8,2308651.525
957,2014,Europe,renewable,547.1570759748901,257668061.0,0.345133325624914,338466255.0,13499117646931.9,2191542.213
966,2015,Europe,renewable,625.3037584735554,259198842.0,0.315310310624611,339533474.0,11684180189186.4,1752191.090209961
975,2016,Europe,renewable,638.5620144486826,260756917.0,0.319099612546594,340616924.0,11981439102404.6,1520537.8607177734
984,2017,Europe,renewable,717.0743904162618,261911604.0,0.16071955367667098,341164362.0,12639380729565.5,1264840.0321044922
993,2018,Europe,renewable,761.0540397487523,263144784.0,0.181381489078262,341783171.0,13675599697568.1,984531.1693115234
1002,1982,Russia,renewable,0.0,99464693.0,0.6282877444241071,140823000.0,1407242640.23211,608.722
1011,1983,Russia,renewable,0.0,100677781.0,0.598250932058307,141668000.0,1479688125.8852,696.73
1020,1984,Russia,renewable,0.0,102058393.0,0.7573529676260509,142745000.0,1587412957.22263,634.391
1029,1985,Russia,renewable,0.0,103466989.0,0.7766880284471479,143858000.0,1715625839.1797302,616.056
1038,1986,Russia,renewable,0.0,104825013.0,0.7175738664357741,144894000.0,1944711061.30888,597.721
1047,1987,Russia,renewable,0.0,106169956.0,0.697384550046896,145908000.0,2157434025.16467,616.056
1056,1988,Russia,renewable,0.0,107471421.0,0.648303809439665,146857000.0,554713455149.5021,696.73
1065,1989,Russia,renewable,0.0,108424260.0,0.586603532881112,147721000.0,506500173960.269,689.3960000000002
1074,1990,Russia,renewable,0.065,108837430.0,0.385794345665368,148292000.0,516814274021.956,542.716
1083,1991,Russia,renewable,0.065,109073667.0,0.22363236630223696,148624000.0,517962962962.963,487.711
1092,1992,Russia,renewable,0.063,109115423.0,0.0437249639508604,148689000.0,460290556900.726,2078668.286
1101,1993,Russia,renewable,0.06,108985461.0,-0.113724697579415,148520000.0,435083713850.837,1938445.873
1110,1994,Russia,renewable,0.061,108843023.0,-0.123965844425279,148336000.0,395077301248.464,1698378.384
1119,1995,Russia,renewable,0.059,108866238.0,0.0267775060816902,148375726.0,395537185734.854,1631473.969
1128,1996,Russia,renewable,0.057,108700578.0,-0.14546915502926502,148160042.0,391724890744.498,1612966.62
1137,1997,Russia,renewable,0.057,108515107.0,-0.165319440855875,147915307.0,404928954191.876,1526011.049
1146,1998,Russia,renewable,0.057999999999999996,108329743.0,-0.165511936742255,147670692.0,270955486862.442,1495505.2759999996
1155,1999,Russia,renewable,0.057999999999999996,107987645.0,-0.309476734460824,147214392.0,195907128350.934,1531130.181
1164,2000,Russia,renewable,0.081,107528575.0,-0.42056697531099296,146596557.0,259710142196.943,1557899.281
1173,2001,Russia,renewable,0.1172,107067618.0,-0.4241510280761889,145976083.0,306602070620.5,1557506.9119999998
1182,2002,Russia,renewable,0.17950000000000002,106568907.0,-0.460061304902853,145306046.0,345470494417.86304,1557085.207
1191,2003,Russia,renewable,0.37439999999999996,106132766.0,-0.453719859743564,144648257.0,430347770733.155,1604242.8269999996
1200,2004,Russia,renewable,0.457810101010101,105771150.0,-0.4026137603057179,144067054.0,591016690742.937,1602115.967
1209,2005,Russia,renewable,0.4591,105433013.0,-0.38147369622440097,143518523.0,764017107993.346,1615089.813
1218,2006,Russia,renewable,0.5165000000000001,105152847.0,-0.32731870638619204,143049528.0,989930542278.684,1669262.404
1227,2007,Russia,renewable,0.509,105037426.0,-0.171024042221983,142805088.0,1299705764824.48,1666886.188
1236,2008,Russia,renewable,0.53,105055515.0,-0.0439422615372963,142742350.0,1660846387626.0,1714978.8930000004
1245,2009,Russia,renewable,0.568607375,105149982.0,0.0301140670621249,142785342.0,1222644282200.48,1574045.082
1254,2010,Russia,renewable,0.6309401249999999,105261473.0,0.0448873898392816,142849449.0,1524917468442.6,1670531.186
1263,2011,Russia,renewable,0.6665697500000001,105407907.0,0.0779670984684485,142960868.0,2051661732059.47,1763405.295
1272,2012,Russia,renewable,0.6223027589041095,105669949.0,0.168301590750173,143201676.0,2210256976944.74,1830830.424
1281,2013,Russia,renewable,0.6739925999999999,105998510.0,0.212923595008292,143506911.0,2297128039058.16,1778561.006
1290,2014,Russia,renewable,1.0368424499999997,106354643.0,0.217700100552035,143819666.0,2059984158384.6,1705345.684
1299,2015,Russia,renewable,1.4182380499999998,106703732.0,0.19255864182342305,144096870.0,1363594369511.4,1548987.6395111084
1308,2016,Russia,renewable,1.7967426739726027,107050095.0,0.17024454590112,144342396.0,1282723881083.71,1486071.3180236816
1317,2017,Russia,renewable,2.0465005499999998,107349518.0,0.106871954284237,144496740.0,1578624060588.26,1415362.0581817627
1326,2018,Russia,renewable,2.5375609229971374,107539347.0,-0.0129353844507104,144478050.0,1657553765580.67,1336809.2924499512
1335,1982,Middle East,renewable,0.0,100255121.0,3.36899758446722,197157159.0,415696836243.358,634634.55265118
1344,1983,Middle East,renewable,0.0,104893039.0,3.38665409557863,203834190.0,422819099218.397,677289.072862662
1353,1984,Middle East,renewable,0.0,109660638.0,3.34321783798882,210648811.0,428820268874.78296,725247.8961551391
1362,1985,Middle East,renewable,0.0,114531210.0,3.28697654030432,217572788.0,435916738779.892,767990.454592032
1371,1986,Middle East,renewable,0.0,119494701.0,3.2067686699864306,224549844.0,446708185515.019,819048.957070844
1380,1987,Middle East,renewable,0.0,124347202.0,3.12637447211944,231570113.0,410970895760.933,830537.945486939
1389,1988,Middle East,renewable,0.0,129069928.0,3.0206907572740205,238565130.0,408409905957.318,887318.932617446
1398,1989,Middle East,renewable,0.0,133705181.0,2.8873159291972,245453259.0,420664060516.896,916881.43505848
1407,1990,Middle East,renewable,0.001,139666927.0,3.56967311646083,254215138.0,550672700031.725,913726.7319812628
1416,1991,Middle East,renewable,0.001,144406997.0,2.68716137588942,261046309.0,554619640067.1,999941.83247408
1425,1992,Middle East,renewable,0.001,147229296.0,1.76608894324571,265656619.0,603659416995.199,1062834.13975185
1434,1993,Middle East,renewable,0.001,151964154.0,2.42840137930085,272107828.0,607894528644.182,1158095.16790561
1443,1994,Middle East,renewable,0.001,156596433.0,2.3068564569189904,278384965.0,633727283356.403,1211915.86970668
1452,1995,Middle East,renewable,0.001,162593631.0,2.77026419153059,286096964.0,708644708098.4979,1186766.28331436
1461,1996,Middle East,renewable,0.001,166923263.0,2.07769314182586,292041181.0,802281807818.04,1187235.82051655
1470,1997,Middle East,renewable,0.003,171273206.0,2.00333048235413,297891731.0,832628504235.547,1153542.858
1479,1998,Middle East,renewable,0.003,175668732.0,1.93023451194756,303641740.0,809324954316.0841,1267747.906
1488,1999,Middle East,renewable,0.038000000000000006,180164193.0,1.90849947046148,309436741.0,866753216731.7579,1353489.7
1497,2000,Middle East,renewable,0.042499999999999996,184767866.0,1.9034779066523304,315326801.0,966940531199.356,1473033.9
1506,2001,Middle East,renewable,0.0517,189474459.0,1.8934029651352096,321297208.0,970588701268.544,1496924.405
1515,2002,Middle East,renewable,0.049300000000000004,194266427.0,1.88767404415167,327362252.0,966794595638.065,1515868.127
1524,2003,Middle East,renewable,0.048600000000000004,199218951.0,1.90813906057808,333608779.0,1089041747053.17,1615889.219
1533,2004,Middle East,renewable,0.06739999999999999,204420062.0,1.95879197771352,340143481.0,1271305394517.72,1747453.845
1542,2005,Middle East,renewable,0.091,210036919.0,2.02455533757532,347029874.0,1530292026599.53,1833500.0
1551,2006,Middle East,renewable,0.1455,216006638.0,2.09566655347948,354302463.0,1791193599349.88,1941947.858
1560,2007,Middle East,renewable,0.1651,222207051.0,2.1525881969384,361929136.0,2123656501279.28,1928295.617
1569,2008,Middle East,renewable,0.22960000000000003,228610587.0,2.1811219973182903,369823252.0,2648080083193.21,2086820.027
1578,2009,Middle East,renewable,0.33599999999999997,235187474.0,2.17961984715878,377883993.0,2368422381889.97,2184057.866
1587,2010,Middle East,renewable,0.40033850000000004,241803108.0,2.12602098761035,385917886.0,2768122882414.01,2271079.443
1596,2011,Middle East,renewable,0.671083,248192942.0,2.07988312829843,393944527.0,3282325618009.2,2297742.2
1605,2012,Middle East,renewable,0.8659336027397261,254611631.0,2.03827987182572,401974219.0,3575615120555.34,2468881.09
